City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
651,Talavera,PH,77.49,light rain,15.6167,120.9333,R&G's Resort
654,Namatanai,PG,83.23,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
659,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
666,Palmer,US,81.86,overcast clouds,42.1584,-72.3287,Wedgewood Motel
670,Bilma,NE,88.59,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
673,Ingraj Bazar,IN,81.79,heavy intensity rain,25.0,88.15,"Hotel Samrat, Malda"
677,Pimenta Bueno,BR,80.01,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
684,La Asuncion,VE,76.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
692,Kandla,IN,81.48,scattered clouds,23.0333,70.2167,Ramju Chawala
696,Marigot,MF,85.78,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
698,Luchegorsk,RU,75.7,overcast clouds,46.4764,134.2569,Mirazh
