City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Lorengau,PG,-2.0226,147.2712,84.79,70,100,11.97,overcast clouds
284,Tasiilaq,GL,65.6145,-37.6368,48.36,50,43,5.53,scattered clouds
285,Inhambane,MZ,-23.865,35.3833,66.25,82,6,5.77,clear sky
286,Port Elizabeth,ZA,-33.918,25.5701,50.31,81,0,9.22,clear sky
287,Masallatah,LY,32.6167,14.0,77.05,77,0,6.85,clear sky
288,Adzope,CI,6.1069,-3.8619,70.97,89,100,4.41,overcast clouds
289,Havoysund,NO,70.9963,24.6622,57.43,86,14,8.01,few clouds
290,Teguldet,RU,57.3064,88.1667,60.57,98,58,6.31,broken clouds
291,Necochea,AR,-38.5473,-58.7368,51.64,79,76,7.45,broken clouds
292,Victoria Point,AU,-27.5833,153.3,59.92,93,100,4.0,overcast clouds
293,Utica,US,43.1009,-75.2327,77.92,73,100,1.61,overcast clouds
294,Tsiroanomandidy,MG,-18.7667,46.0333,61.09,69,68,2.42,broken clouds
295,Cabedelo,BR,-6.9811,-34.8339,75.87,85,99,13.87,overcast clouds
296,Sargur,IN,11.9833,76.4167,70.95,93,100,4.59,moderate rain
297,Ayagoz,KZ,47.9714,80.4392,61.63,69,45,4.63,scattered clouds
298,Nacala,MZ,-14.5428,40.6728,68.49,87,1,5.01,clear sky
299,Sibolga,ID,1.7427,98.7792,75.74,87,100,3.36,overcast clouds
300,Lagoa,PT,39.05,-27.9833,72.5,74,0,6.87,clear sky
301,Yichun,CN,47.7,128.9,73.58,86,10,2.24,clear sky
302,Raudeberg,NO,61.9875,5.1352,52.47,76,71,7.43,broken clouds
303,Olafsvik,IS,64.8945,-23.7142,48.11,65,100,10.13,overcast clouds
304,Marawi,PH,7.9986,124.2928,71.2,87,97,2.21,overcast clouds
305,Lompoc,US,34.6391,-120.4579,76.01,69,0,17.27,clear sky
306,Shenjiamen,CN,29.9576,122.298,82.8,83,100,7.34,overcast clouds
307,Ambovombe,MG,-25.1667,46.0833,66.54,88,8,4.81,clear sky
308,Zhangjiakou,CN,40.81,114.8794,74.25,76,1,2.46,clear sky
309,Dingle,PH,10.9995,122.6711,78.01,84,100,1.63,overcast clouds
310,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,93,75,18.41,broken clouds
311,Storsteinnes,NO,69.2408,19.2344,59.38,69,100,3.06,overcast clouds
312,Luzhou,CN,28.8724,105.4405,77.45,80,77,2.19,broken clouds
313,Olga,RU,43.7444,135.2892,65.19,99,100,7.67,moderate rain
314,Bathsheba,BB,13.2167,-59.5167,83.01,89,40,19.57,scattered clouds
315,Severo-Kurilsk,RU,50.6789,156.125,53.76,86,99,10.45,overcast clouds
316,Tairua,NZ,-37.0167,175.85,55.71,62,6,8.1,clear sky
317,Yaan,NG,7.3833,8.5667,71.58,96,99,8.41,overcast clouds
318,Phek,IN,25.6667,94.5,58.57,99,100,1.32,overcast clouds
319,Wanning,CN,18.8003,110.3967,80.78,84,5,4.0,clear sky
320,Mariestad,SE,58.7097,13.8237,61.5,83,93,7.11,overcast clouds
321,Dandong,CN,40.1292,124.3947,77.47,90,99,2.17,overcast clouds
322,Maumere,ID,-8.6199,122.2111,76.66,79,60,2.59,broken clouds
323,Alugan,PH,12.2188,125.4808,81.36,82,100,7.54,overcast clouds
324,Snasa,NO,64.2457,12.3778,55.81,99,100,3.94,moderate rain
325,Agua Verde,MX,22.9,-106.05,84.02,69,100,11.68,overcast clouds
326,Mikkeli,FI,61.6886,27.2723,54.14,100,0,1.14,clear sky
327,Ancud,CL,-41.8697,-73.8203,43.23,82,100,0.98,overcast clouds
328,Tromso,NO,69.6496,18.957,59.38,77,0,3.44,clear sky
329,Ramhormoz,IR,31.28,49.6035,94.91,40,60,2.86,broken clouds
